MD,WOB,RPM,TOR,MSE,ROP,WOB min,TOR max,TOR min,Rotary RPM,Diff,Surface MSE,Fm,top,bottom,ftype,Section,Start depth
1565,14.1,272.63,2.87,481.84,83.74,8.4,14.916,11.031,75.19,268.18,1798.760729,,,,,,
1565.5,10.1,272.92,2.62,433.43,84.17,9.2,12.585,11.912,75.33,244.16,1927.981806,,,,,,
1566,12,272.88,3.94,524.17,104.69,11,15.175,13.362,75.3,367.5,1742.297291,,,,,,
1566.5,12,272.66,3.79,464.38,114.04,11.1,15.537,14.139,75.36,353.57,1691.49241,,,,,,
1567,12.4,272.79,4.01,478.13,117.31,12.1,15.745,14.605,75.5,374.24,1699.842664,,,,,,
1567.5,12,272.65,4.15,492.41,117.72,11.9,16.366,16.055,75.36,387.77,1859.107762,,,,,,
1568,13.1,272.62,5.4,637.02,117.72,12.6,19.888,19.111,75.33,504.24,2211.212234,,,,,,
1568.5,13.3,272.62,5.39,642.41,116.52,12.8,20.924,17.557,75.47,503.24,2053.768464,,,,,,
1569,14.1,272.54,5.06,607.38,116.01,13.5,18.334,16.366,75.39,472.28,1924.430407,,,,,,
1569.5,14.1,272.65,3.61,455.66,111.54,14.1,14.605,13.984,75.5,337.02,1712.943077,,,,,,
1570,14.1,272.83,3.35,566.64,82.66,13.8,14.968,13.673,75.39,312.91,2255.683614,,,,,,
1570.5,11.8,272.6,3.29,722.5,62.94,10.1,14.709,13.517,75.3,307.52,2917.734724,,,,,,
1571,10.3,272.97,2.63,520.2,70.34,8.1,14.242,11.446,75.53,245.98,2215.53044,,,,,,
1571.5,11.9,272.87,4.05,675.26,83.02,11.1,17.92,15.745,75.58,378.08,2581.155956,,,,,,
1572,10.9,273.33,3.61,579.07,86.62,10.1,16.262,14.087,75.89,337.18,2217.947732,,,,,,
1572.5,10.9,272.37,3.54,533.24,91.97,10.7,13.984,13.051,75.22,330.13,1930.323371,,,,,,
1573,14.5,272.91,3.45,493.59,98.23,10.2,14.968,11.083,75.47,321.88,1545.334657,,,,,,
1573.5,14.5,272.91,2.72,523.69,72.83,14.1,9.581,9.271,75.33,253.77,1741.144386,,,,,,
1574,13.5,273.02,2.42,702.29,47.91,11.5,12.067,10.514,75.58,226.32,2987.972407,,,,,,
1574.5,10.7,272.63,2.47,620,55.18,10.5,11.757,11.653,75.33,231.05,2868.266147,,,,,,
1575,14.2,272.79,2.95,610.93,67.23,11.6,12.067,10.099,75.5,275.03,2049.979369,,,,,,
1575.5,14,272.88,2.36,626.86,52.42,13.7,12.015,11.187,75.44,220.23,2905.34713,,,,,,
1576,14,272.59,3.06,581.16,73.54,13.6,14.968,12.274,75.3,286.07,2273.753737,,,,,,
1576.5,14.7,272.62,2.86,507.95,79.09,13.1,14.087,13.466,75.47,267.14,2320.274479,,,,,,
1577,15.7,272.63,2.59,458.32,79.95,15,12.896,11.135,75.33,241.92,1902.772831,,,,,,
